共15个， 全向15个， 定向0个

接收时间	指令	位置	频道	响应摘要	虚拟时间
18:47:08	进入	--	--	进入成功	0.000 s
18:47:08	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
18:47:08	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
18:47:08	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
18:47:08	测量	(0.00, 0.00)	4	未检测到信号	23.000 s
18:47:08	测量	(0.00, 0.00)	5	示向度 305.49°	29.000 s
18:47:08	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
18:47:08	测量	(0.00, 0.00)	7	示向度 248.03°	41.000 s
18:47:08	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
18:47:08	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
18:47:08	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
18:47:08	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
18:47:08	测量	(0.00, 0.00)	12	示向度 184.12°	71.000 s
18:47:08	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
18:47:08	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
18:47:08	测量	(0.00, 0.00)	15	示向度 123.98°	89.000 s
18:47:08	测量	(0.00, 0.00)	16	示向度 96.12°	95.000 s
18:47:08	测量	(0.00, 0.00)	17	示向度 22.35°	101.000 s
18:47:08	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
18:47:08	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
18:47:08	测量	(0.00, 0.00)	20	示向度 139.45°	119.000 s
18:47:11	测量	(-129.41, -482.96)	20	未检测到信号	224.000 s
18:47:11	测量	(-129.41, -482.96)	1	未检测到信号	230.000 s
18:47:11	测量	(-129.41, -482.96)	2	未检测到信号	236.000 s
18:47:11	测量	(-129.41, -482.96)	3	未检测到信号	242.000 s
18:47:11	测量	(-129.41, -482.96)	5	示向度 343.52°	248.000 s
18:47:11	测量	(-129.41, -482.96)	7	示向度 240.25°	254.000 s
18:47:11	测量	(-129.41, -482.96)	12	示向度 124.15°	260.000 s
18:47:11	测量	(-129.41, -482.96)	15	未检测到信号	266.000 s
18:47:11	测量	(-129.41, -482.96)	16	未检测到信号	272.000 s
18:47:11	测量	(-129.41, -482.96)	17	示向度 45.45°	278.000 s
18:47:12	清除	(-351.82, -872.10)	7	范围内无目标	370.643 s
18:47:13	测量	(-385.00, -940.00)	4	未检测到信号	391.757 s
18:47:13	测量	(-385.00, -940.00)	5	示向度 18.00°	397.757 s
18:47:14	测量	(-385.00, -940.00)	6	未检测到信号	403.757 s
18:47:14	测量	(-385.00, -940.00)	7	示向度 243.00°	409.757 s
18:47:14	测量	(-385.00, -940.00)	8	未检测到信号	415.757 s
18:47:14	测量	(-385.00, -940.00)	12	示向度 94.13°	421.757 s
18:47:14	测量	(-445.00, -1065.00)	5	示向度 24.31°	455.488 s
18:47:15	测量	(-445.00, -1065.00)	7	示向度 65.62°	461.488 s
18:47:15	测量	(-445.00, -1065.00)	9	未检测到信号	467.488 s
18:47:15	测量	(-445.00, -1065.00)	10	未检测到信号	473.488 s
18:47:15	测量	(-445.00, -1065.00)	11	未检测到信号	479.488 s
18:47:15	测量	(-415.00, -1005.00)	5	示向度 21.63°	498.904 s
18:47:15	测量	(-415.00, -1005.00)	7	示向度 83.92°	504.904 s
18:47:15	测量	(-415.00, -1005.00)	12	示向度 91.94°	510.904 s
18:47:15	测量	(-415.00, -1005.00)	13	未检测到信号	516.904 s
18:47:15	测量	(-415.00, -1005.00)	14	未检测到信号	522.904 s
18:47:16	测量	(-415.00, -1005.00)	18	未检测到信号	528.904 s
18:47:16	清除	(-415.00, -1005.00)	7	清除成功	533.904 s
18:47:16	测量	(329.33, -711.79)	18	未检测到信号	698.904 s
18:47:16	测量	(329.33, -711.79)	1	未检测到信号	704.904 s
18:47:16	测量	(329.33, -711.79)	2	未检测到信号	710.904 s
18:47:16	测量	(329.33, -711.79)	3	未检测到信号	716.904 s
18:47:16	测量	(329.33, -711.79)	4	未检测到信号	722.904 s
18:47:16	测量	(329.33, -711.79)	5	示向度 20.56°	728.904 s
18:47:17	测量	(329.33, -711.79)	6	未检测到信号	734.904 s
18:47:17	测量	(329.33, -711.79)	8	未检测到信号	740.904 s
18:47:17	测量	(329.33, -711.79)	9	示向度 310.20°	746.904 s
18:47:17	测量	(329.33, -711.79)	10	未检测到信号	752.904 s
18:47:17	测量	(329.33, -711.79)	11	未检测到信号	758.904 s
18:47:17	测量	(329.33, -711.79)	13	未检测到信号	764.904 s
18:47:17	测量	(329.33, -711.79)	14	未检测到信号	770.904 s
18:47:17	测量	(329.33, -711.79)	17	示向度 75.99°	776.904 s
18:47:17	测量	(329.33, -711.79)	19	示向度 240.09°	782.904 s
18:47:18	清除	(467.37, -658.02)	5	清除成功	817.532 s
18:47:20	测量	(556.09, 137.04)	1	未检测到信号	983.532 s
18:47:20	测量	(556.09, 137.04)	2	未检测到信号	989.532 s
18:47:20	测量	(556.09, 137.04)	3	示向度 67.45°	995.532 s
18:47:20	测量	(556.09, 137.04)	4	未检测到信号	1001.532 s
18:47:20	测量	(556.09, 137.04)	6	未检测到信号	1007.532 s
18:47:20	测量	(556.09, 137.04)	8	未检测到信号	1013.532 s
18:47:20	测量	(556.09, 137.04)	10	示向度 65.76°	1019.532 s
18:47:20	测量	(556.09, 137.04)	11	未检测到信号	1025.532 s
18:47:20	测量	(556.09, 137.04)	13	未检测到信号	1031.532 s
18:47:20	测量	(556.09, 137.04)	14	未检测到信号	1037.532 s
18:47:20	测量	(556.09, 137.04)	15	未检测到信号	1043.532 s
18:47:20	测量	(556.09, 137.04)	16	示向度 125.46°	1049.532 s
18:47:20	测量	(556.09, 137.04)	17	示向度 83.98°	1055.532 s
18:47:20	测量	(556.09, 137.04)	18	未检测到信号	1061.532 s
18:47:21	清除	(566.13, 229.76)	17	清除成功	1085.185 s
18:47:23	清除	(-446.34, -28.49)	12	清除成功	1299.163 s
18:47:25	测量	(-623.12, 148.28)	1	未检测到信号	1355.163 s
18:47:25	测量	(-623.12, 148.28)	2	未检测到信号	1361.163 s
18:47:25	测量	(-623.12, 148.28)	11	示向度 173.38°	1367.163 s
18:47:25	测量	(-623.12, 148.28)	15	示向度 80.31°	1373.163 s
18:47:25	测量	(-623.12, 148.28)	20	示向度 104.39°	1379.163 s
18:47:27	清除	(-749.63, 641.38)	20	范围内无目标	1483.975 s
18:47:29	清除	(-517.37, 767.60)	15	清除成功	1541.845 s
18:47:30	清除	(-115.85, 1080.45)	16	清除成功	1648.647 s
18:47:32	测量	(-332.35, 955.45)	20	示向度 214.35°	1703.647 s
18:47:32	测量	(-332.35, 955.45)	4	未检测到信号	1709.647 s
18:47:32	测量	(-332.35, 955.45)	6	示向度 45.52°	1715.647 s
18:47:32	测量	(-332.35, 955.45)	8	未检测到信号	1721.647 s
18:47:34	测量	(-548.86, 830.45)	6	未检测到信号	1777.647 s
18:47:34	测量	(-548.86, 830.45)	11	示向度 218.36°	1783.647 s
18:47:34	测量	(-548.86, 830.45)	13	未检测到信号	1789.647 s
18:47:34	测量	(-548.86, 830.45)	14	示向度 79.41°	1795.647 s
18:47:34	测量	(-548.86, 830.45)	18	未检测到信号	1801.647 s
18:47:34	测量	(-548.86, 830.45)	20	示向度 218.48°	1807.647 s
18:47:36	测量	(-758.33, 661.67)	20	距离过近	1866.449 s
18:47:36	测量	(-758.33, 661.67)	1	未检测到信号	1872.449 s
18:47:36	测量	(-758.33, 661.67)	2	示向度 49.02°	1878.449 s
18:47:36	测量	(-758.33, 661.67)	4	未检测到信号	1884.449 s
18:47:36	测量	(-758.33, 661.67)	11	示向度 219.08°	1890.449 s
18:47:36	测量	(-758.33, 661.67)	14	示向度 65.30°	1896.449 s
18:47:36	清除	(-758.33, 661.67)	20	清除成功	1901.449 s
