共12个， 全向12个， 定向0个

接收时间	指令	位置	频道	响应摘要	虚拟时间
19:38:44	进入	--	--	进入成功	0.000 s
19:38:44	测量	(0.00, 0.00)	1	示向度 0.82°	5.000 s
19:38:44	测量	(0.00, 0.00)	2	示向度 238.07°	11.000 s
19:38:44	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
19:38:44	测量	(0.00, 0.00)	4	示向度 61.85°	23.000 s
19:38:44	测量	(0.00, 0.00)	5	示向度 57.35°	29.000 s
19:38:44	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
19:38:44	测量	(0.00, 0.00)	7	未检测到信号	41.000 s
19:38:44	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
19:38:44	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
19:38:44	测量	(0.00, 0.00)	10	示向度 347.24°	59.000 s
19:38:44	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
19:38:44	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
19:38:44	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
19:38:44	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
19:38:44	测量	(0.00, 0.00)	15	示向度 51.23°	89.000 s
19:38:44	测量	(0.00, 0.00)	16	示向度 221.09°	95.000 s
19:38:44	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
19:38:44	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
19:38:44	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
19:38:44	测量	(0.00, 0.00)	20	示向度 318.03°	119.000 s
19:38:47	测量	(353.55, 353.55)	20	示向度 297.04°	224.000 s
19:38:47	测量	(353.55, 353.55)	1	示向度 306.59°	230.000 s
19:38:47	测量	(353.55, 353.55)	2	示向度 231.16°	236.000 s
19:38:47	测量	(353.55, 353.55)	3	未检测到信号	242.000 s
19:38:47	测量	(353.55, 353.55)	4	示向度 209.15°	248.000 s
19:38:47	测量	(353.55, 353.55)	5	示向度 187.80°	254.000 s
19:38:47	测量	(353.55, 353.55)	6	未检测到信号	260.000 s
19:38:47	测量	(353.55, 353.55)	7	未检测到信号	266.000 s
19:38:47	测量	(353.55, 353.55)	10	示向度 300.88°	272.000 s
19:38:47	测量	(353.55, 353.55)	15	示向度 219.78°	278.000 s
19:38:47	测量	(353.55, 353.55)	16	示向度 223.88°	284.000 s
19:38:48	清除	(214.32, 334.48)	5	清除成功	317.107 s
19:38:49	清除	(119.26, 222.88)	4	清除成功	351.428 s
19:38:51	清除	(143.50, 178.66)	15	范围内无目标	364.512 s
19:38:52	测量	(135.00, 165.00)	16	示向度 224.95°	372.730 s
19:38:52	测量	(135.00, 165.00)	1	示向度 341.13°	378.730 s
19:38:52	测量	(135.00, 165.00)	2	示向度 234.90°	384.730 s
19:38:52	测量	(135.00, 165.00)	8	未检测到信号	390.730 s
19:38:52	测量	(135.00, 165.00)	9	未检测到信号	396.730 s
19:38:52	测量	(135.00, 165.00)	10	示向度 328.49°	402.730 s
19:38:52	测量	(135.00, 165.00)	11	未检测到信号	408.730 s
19:38:52	测量	(135.00, 165.00)	15	示向度 49.16°	414.730 s
19:38:54	测量	(165.00, 195.00)	15	距离过近	428.215 s
19:38:54	测量	(165.00, 195.00)	1	示向度 336.91°	434.215 s
19:38:54	测量	(165.00, 195.00)	2	示向度 234.38°	440.215 s
19:38:54	测量	(165.00, 195.00)	10	示向度 324.48°	446.215 s
19:38:54	测量	(165.00, 195.00)	12	未检测到信号	452.215 s
19:38:54	测量	(165.00, 195.00)	13	未检测到信号	458.215 s
19:38:54	测量	(165.00, 195.00)	14	未检测到信号	464.215 s
19:38:54	测量	(165.00, 195.00)	16	示向度 224.90°	470.215 s
19:38:54	清除	(165.00, 195.00)	15	清除成功	475.215 s
19:38:55	清除	(609.46, 6.16)	1	清除成功	576.799 s
19:38:57	清除	(652.49, -150.19)	10	清除成功	614.231 s
19:38:59	清除	(-237.19, -208.43)	16	范围内无目标	795.547 s
19:39:01	清除	(-240.01, -376.88)	2	范围内无目标	832.241 s
19:39:02	测量	(-290.00, -455.00)	16	示向度 95.71°	855.791 s
19:39:02	测量	(-290.00, -455.00)	2	示向度 57.65°	861.791 s
19:39:02	测量	(-290.00, -455.00)	3	未检测到信号	867.791 s
19:39:02	测量	(-290.00, -455.00)	6	未检测到信号	873.791 s
19:39:02	测量	(-290.00, -455.00)	7	未检测到信号	879.791 s
19:39:03	清除	(-307.56, -275.61)	16	清除成功	920.839 s
19:39:04	测量	(-210.00, -340.00)	2	示向度 98.50°	950.218 s
19:39:04	测量	(-210.00, -340.00)	8	示向度 278.06°	956.218 s
19:39:04	测量	(-210.00, -340.00)	9	未检测到信号	962.218 s
19:39:04	测量	(-210.00, -340.00)	11	未检测到信号	968.218 s
19:39:04	清除	(-210.00, -340.00)	2	清除成功	973.218 s
19:39:05	测量	(517.43, -672.94)	11	未检测到信号	1138.218 s
19:39:05	测量	(517.43, -672.94)	3	未检测到信号	1144.218 s
19:39:05	测量	(517.43, -672.94)	6	未检测到信号	1150.218 s
19:39:05	测量	(517.43, -672.94)	7	未检测到信号	1156.218 s
19:39:05	测量	(517.43, -672.94)	8	示向度 237.09°	1162.218 s
19:39:05	测量	(517.43, -672.94)	9	未检测到信号	1168.218 s
19:39:05	测量	(517.43, -672.94)	12	示向度 221.44°	1174.218 s
19:39:05	测量	(517.43, -672.94)	13	未检测到信号	1180.218 s
19:39:05	测量	(517.43, -672.94)	14	未检测到信号	1186.218 s
19:39:05	测量	(517.43, -672.94)	17	未检测到信号	1192.218 s
19:39:05	测量	(517.43, -672.94)	18	未检测到信号	1198.218 s
19:39:05	测量	(517.43, -672.94)	19	未检测到信号	1204.218 s
19:39:05	测量	(517.43, -672.94)	20	示向度 339.93°	1210.218 s
19:39:06	清除	(954.51, -840.25)	20	清除成功	1308.821 s
19:39:07	清除	(-40.72, -1535.38)	8	范围内无目标	1554.613 s
19:39:08	测量	(-45.00, -1540.00)	8	示向度 64.79°	1561.872 s
19:39:08	测量	(-45.00, -1540.00)	12	示向度 178.74°	1567.872 s
19:39:08	测量	(-45.00, -1540.00)	13	未检测到信号	1573.872 s
19:39:08	测量	(-45.00, -1540.00)	14	未检测到信号	1579.872 s
19:39:08	测量	(-45.00, -1540.00)	17	未检测到信号	1585.872 s
19:39:09	测量	(-30.00, -1505.00)	8	示向度 250.33°	1599.488 s
19:39:09	测量	(-30.00, -1505.00)	9	未检测到信号	1605.488 s
19:39:09	测量	(-30.00, -1505.00)	12	示向度 183.51°	1611.488 s
19:39:09	测量	(-30.00, -1505.00)	18	未检测到信号	1617.488 s
19:39:09	测量	(-30.00, -1505.00)	19	未检测到信号	1623.488 s
19:39:09	清除	(-30.00, -1505.00)	8	清除成功	1628.488 s
