共10个， 全向2个， 定向8个

接收时间	指令	位置	频道	响应摘要	虚拟时间
16:33:28	进入	--	--	进入成功	0.000 s
16:33:28	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
16:33:28	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
16:33:28	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
16:33:28	测量	(0.00, 0.00)	4	未检测到信号	23.000 s
16:33:28	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
16:33:28	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
16:33:28	测量	(0.00, 0.00)	7	示向度 187.87°	41.000 s
16:33:28	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
16:33:28	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
16:33:28	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
16:33:28	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
16:33:28	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
16:33:28	测量	(0.00, 0.00)	13	示向度 153.74°	77.000 s
16:33:28	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
16:33:29	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
16:33:29	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
16:33:29	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
16:33:29	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
16:33:29	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
16:33:29	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
16:33:29	测量	(-592.46, -94.79)	7	示向度 183.58°	245.000 s
16:33:29	测量	(-592.46, -94.79)	13	示向度 118.34°	251.000 s
16:33:29	测量	(-841.20, -119.92)	13	示向度 91.26°	306.000 s
16:33:29	测量	(-841.20, -119.92)	7	示向度 6.23°	312.000 s
16:33:29	清除	(-840.00, -120.00)	7	范围内无目标	315.240 s
16:33:29	清除	(-820.00, -120.00)	7	范围内无目标	322.240 s
16:33:29	清除	(-800.00, -120.00)	7	范围内无目标	329.240 s
16:33:29	清除	(-780.00, -120.00)	7	范围内无目标	336.240 s
16:33:29	清除	(-760.00, -120.00)	7	范围内无目标	343.240 s
16:33:29	清除	(-740.00, -120.00)	7	范围内无目标	350.240 s
16:33:29	清除	(-740.00, -100.00)	7	范围内无目标	357.240 s
16:33:29	清除	(-760.00, -100.00)	7	范围内无目标	364.240 s
16:33:29	清除	(-780.00, -100.00)	7	范围内无目标	371.240 s
16:33:29	清除	(-720.00, -100.00)	7	范围内无目标	386.240 s
16:33:29	清除	(-700.00, -100.00)	7	范围内无目标	393.240 s
16:33:29	清除	(-680.00, -100.00)	7	清除成功	402.240 s
16:33:29	清除	(-840.00, 400.00)	13	范围内无目标	510.236 s
16:33:29	清除	(-860.00, 400.00)	13	清除成功	519.236 s
16:33:29	测量	(-531.77, 463.92)	1	未检测到信号	592.115 s
16:33:29	测量	(-531.77, 463.92)	2	未检测到信号	598.115 s
16:33:29	测量	(-531.77, 463.92)	3	未检测到信号	604.115 s
16:33:29	测量	(-531.77, 463.92)	4	示向度 223.34°	610.115 s
16:33:29	测量	(-531.77, 463.92)	5	未检测到信号	616.115 s
16:33:29	测量	(-531.77, 463.92)	6	未检测到信号	622.115 s
16:33:29	测量	(-531.77, 463.92)	8	未检测到信号	628.115 s
16:33:29	测量	(-531.77, 463.92)	9	未检测到信号	634.115 s
16:33:29	测量	(-531.77, 463.92)	10	未检测到信号	640.115 s
16:33:29	测量	(-531.77, 463.92)	11	未检测到信号	646.115 s
16:33:29	测量	(-531.77, 463.92)	12	未检测到信号	652.115 s
16:33:29	测量	(-531.77, 463.92)	14	未检测到信号	658.115 s
16:33:29	测量	(-531.77, 463.92)	15	未检测到信号	664.115 s
16:33:29	测量	(-531.77, 463.92)	16	未检测到信号	670.115 s
16:33:29	测量	(-531.77, 463.92)	17	未检测到信号	676.115 s
16:33:29	测量	(-531.77, 463.92)	18	未检测到信号	682.115 s
16:33:29	测量	(-531.77, 463.92)	19	未检测到信号	688.115 s
16:33:29	测量	(-531.77, 463.92)	20	未检测到信号	694.115 s
16:33:29	测量	(-780.68, 440.61)	4	示向度 236.04°	750.115 s
16:33:29	测量	(-922.20, 234.53)	4	示向度 235.55°	805.115 s
16:33:29	测量	(-1064.78, 29.17)	4	示向度 234.37°	860.115 s
16:33:29	测量	(-1220.00, -190.00)	4	示向度 53.12°	918.828 s
16:33:29	清除	(-1220.00, -200.00)	4	范围内无目标	923.828 s
16:33:29	清除	(-1220.00, -180.00)	4	范围内无目标	930.828 s
16:33:29	清除	(-1200.00, -180.00)	4	范围内无目标	937.828 s
16:33:29	清除	(-1200.00, -160.00)	4	范围内无目标	944.828 s
16:33:29	清除	(-1180.00, -160.00)	4	范围内无目标	951.828 s
16:33:29	清除	(-1180.00, -140.00)	4	清除成功	960.828 s
16:33:29	测量	(-1234.24, -118.89)	1	未检测到信号	978.469 s
16:33:29	测量	(-1234.24, -118.89)	2	未检测到信号	984.469 s
16:33:29	测量	(-1234.24, -118.89)	3	未检测到信号	990.469 s
16:33:29	测量	(-1234.24, -118.89)	5	未检测到信号	996.469 s
16:33:29	测量	(-1234.24, -118.89)	6	未检测到信号	1002.469 s
16:33:29	测量	(-1234.24, -118.89)	8	未检测到信号	1008.469 s
16:33:29	测量	(-1234.24, -118.89)	9	未检测到信号	1014.469 s
16:33:29	测量	(-1234.24, -118.89)	10	未检测到信号	1020.469 s
16:33:29	测量	(-1234.24, -118.89)	11	未检测到信号	1026.469 s
